GameType,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,TopBottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,result,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,game_type,home_away_park,day_pitch_count,count,games_started,count_type,pitch_category,fastball_velo_category,hbp,pa_count,pa_id,ab_count,contact_count,hit_count,total_bases,swing_count,pitch_take,true_strike_count,est_missed_strike_call,strike_height_category,strike_side_category,dz_pitch,ez_pitch,cz_pitch,hard_hit_count,singles_count,doubles_count,triples_count,homeruns_count,walks_count,strikeout_count,hbp_count,sf_count,swing_miss,gb_count,fb_count,ld_count,pop_count,batted_ball_direction,bb_pull_count,bb_oppo_count,bb_cent_count,dz_swing_pts_la,fair_ball_ev,batter_avg_ev,ev_residual,dz_swing_pts_ev,dz_swing_pts,dz_take_pts,cz_swing_pts,cz_take_pts,p_score,k_points,r_score,hard_hit_qab,hit_qab,ab_length,sacrifice,walk_hbp_qab,runner_moved,rbi_qab,qab_yesno
Scrimmage,9/27/2022,16:20:21,7,3,Nate Haberthier,haberna43,,Maryland,Eddie Hacopian,hacoped42,,Maryland,,3,Top,1,1,1,Changeup,,BallCalled,,,,,0,0,,83.99755,-1.57933,-2.61907,,,,5.50166,3.10787,6.81772,,,,0.90351,0.67956,77.47563,-8.59504,-2.61907,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,d024984f-3ea1-11ed-8f3e-47a1f5c12402,84.1282,5.49684,3.10787,-1.52118,-2.61907,77.58468,0.9088,0.67956,-8.52441,-2.61907,0.45118,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.50228,James Heffley,hefflja42,Maryland,Scrimmage,Home,30,1-Jan,0,HC,Offspeed,,,0,T 3 - 7 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,68.17858,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:22:04,8,3,Nate Haberthier,haberna43,,Maryland,Elijah Lambros,lambrel42,,Maryland,,3,Top,0,2,0,Four-Seam,,StrikeCalled,,,,,0,0,,89.22206,-1.0036,-5.04382,,,,5.54521,3.11127,7.48459,,,,2.12722,-0.07482,80.81176,-6.41961,-2.19157,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,0d77b9f5-3ea2-11ed-a922-af663e22967e,89.36516,5.54068,3.11127,-0.95169,-5.04382,80.92192,2.13082,-0.07482,-6.36078,-2.19157,0.42029,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.83541,James Heffley,hefflja42,Maryland,Scrimmage,Home,34,Feb-00,0,HC,Fastball,88-91,,0,T 3 - 8 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,1,,Bottom-Third,Middle-Third,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,88.48907,,,0,-2,0,0,-2,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:40:38,5,1,Wagner Morrissette,,,Maryland,Zach Martin,martiza63,Left,Maryland,,3,Bottom,2,0,0,Four-Seam,,BallCalled,,,,,0,0,,91.84501,-3.69584,-2.59267,,,,5.71836,2.37975,6.96699,,,,-0.3189,-0.01729,84.79404,-9.53698,-2.59267,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,a59d201e-3ea4-11ed-b1ca-f57bd3c5515a,91.98433,5.71432,2.37975,-3.64722,-2.59267,84.91386,-0.31452,-0.01729,-9.47835,-2.59267,0.41215,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.35301,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,4,0 - 0,0,HC,Fastball,92-95,,0,B 3 - 5 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,Middle-Third,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,68.40788,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:48:51,1,1,Kenny Lippman,lippmke42,,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,4,Top,0,0,0,Slider,,StrikeCalled,,,,,0,0,,83.54729,-0.21918,-2.24131,,,,5.1159,3.61669,7.18535,,,,1.80972,-0.14737,75.29168,-6.98441,-5.30566,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,cb76beae-3ea5-11ed-8d99-5d0d055f5468,83.6801,5.11105,3.61669,-0.16093,-2.24131,75.39266,1.81396,-0.14737,-6.91566,-5.30566,0.46096,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.13465,James Heffley,hefflja42,Maryland,Scrimmage,Home,1,0 - 0,0,HC,Breaking,,,0,T 4 - 1 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,1,,Bottom-Third,Middle-Third,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,89.42485,,,0,0,0,0,0,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:49:24,1,3,Kenny Lippman,lippmke42,,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,4,Top,0,0,2,Slider,,BallCalled,,,,,0,0,,85.12961,-0.51079,-4.04592,,,,5.17109,3.65223,6.97854,,,,1.68788,-1.90129,77.66158,-6.98397,-7.05968,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,df29cbc5-3ea5-11ed-83e1-6fec11b55f86,85.26503,5.1664,3.65223,-0.45442,-4.04592,77.76824,1.69197,-1.90129,-6.91834,-7.05968,0.44997,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.34146,James Heffley,hefflja42,Maryland,Scrimmage,Home,3,0 - 2,0,PC,Breaking,,,0,T 4 - 1 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,Bottom-Third,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,89.42485,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:50:12,2,1,Kenny Lippman,lippmke42,,Maryland,Ian Petrutz,petruia42,Left,Maryland,,4,Top,1,0,0,Four-Seam,,BallCalled,,,,,0,0,,93.43495,-0.67443,-0.86233,,,,5.32617,3.42152,7.32784,,,,3.0806,1.8434,84.04329,-3.84314,-0.67878,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,fb9d3f4a-3ea5-11ed-ae7a-ad5ef1ae20ce,93.58364,5.32226,3.42152,-0.62802,-0.86233,84.16493,3.0839,1.8434,-3.7889,-0.67878,0.40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.99216,James Heffley,hefflja42,Maryland,Scrimmage,Home,5,0 - 0,0,HC,Fastball,92-95,,0,T 4 - 2 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,Upper-Third,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,63.23572,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:50:25,2,2,Kenny Lippman,lippmke42,,Maryland,Ian Petrutz,petruia42,Left,Maryland,,4,Top,1,1,0,Four-Seam,,StrikeCalled,,,,,0,0,,92.02202,-1.76104,-2.28906,,,,5.34783,3.41961,7.38426,,,,2.31489,0.70019,82.56675,-4.64953,-2.46868,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,03cb754c-3ea6-11ed-9b36-3189ab3a0c43,92.16674,5.34368,3.41961,-1.71269,-2.28906,82.6844,2.31837,0.70019,-4.59314,-2.46868,0.40716,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.93574,James Heffley,hefflja42,Maryland,Scrimmage,Home,6,Jan-00,0,HC,Fastball,92-95,,0,T 4 - 2 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,1,,Middle-Third,Outer-Third,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,63.23572,,0,0,0,0,0,0,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:57:35,1,3,Wagner Morrissette,,,Maryland,Simmi Whitehill,,,Maryland,,4,Bottom,0,1,1,Curveball,,BallCalled,,,,,0,0,,69.82443,-1.43612,-1.39597,,,,5.93083,1.85683,7.18888,,,,0.14705,0.57223,65.0073,-11.44136,-1.39597,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,03861817-3ea7-11ed-b5d8-c5a1adaecd61,69.92768,5.92383,1.85683,-1.3522,-1.39597,65.08066,0.15449,0.57223,-11.34302,-1.39597,0.5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.13112,Devin Russell,,Maryland,Scrimmage,Home,18,1-Jan,0,HC,Breaking,,,0,B 4 - 1 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,17:04:10,2,3,Kenny Lippman,lippmke42,,Maryland,Kevin Keister,keistke42,Right,Maryland,,5,Top,1,2,0,Four-Seam,,BallCalled,,,,,0,0,,90.0572,-2.47146,-4.19415,,,,5.33145,3.46009,7.6366,,,,1.46296,-0.10677,81.62579,-5.75113,-3.08876,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,ef227a11-3ea7-11ed-a7bc-0d6d2b4ef4b6,90.19914,5.32685,3.46009,-2.41998,-4.19415,81.73833,1.46647,-0.10677,-5.69382,-3.08876,0.41497,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,53.6834,Jake Walman,,Maryland,Scrimmage,Home,25,Feb-00,0,HC,Fastball,88-91,,0,T 5 - 2 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,Middle-Third,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,96.04138,,0,0,0,0,0,0,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,17:17:35,4,1,Wagner Morrissette,,,Maryland,Jake Walman,,,Maryland,,5,Bottom,2,0,0,Slider,,BallCalled,,,,,0,0,,82.92259,0.25207,-3.05588,,,,5.57188,2.80135,7.097,,,,2.69284,-1.25069,74.31126,-6.28059,-4.50636,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,cf4fb5d7-3ea9-11ed-944a-df5a1076eb8b,83.05598,5.56694,2.80135,0.31131,-3.05588,74.41277,2.69721,-1.25069,-6.20991,-4.50636,0.4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.223,Devin Russell,,Maryland,Scrimmage,Home,36,0 - 0,0,HC,Breaking,,,0,B 5 - 4 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,Middle-Third,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
